unit_id,name,state,disclosure_score,gradeable,letter,earnings_10_yrs_after_entry_median,earnings_10_yrs_after_entry_median_disputed,completion_completion_rate_4yr_150nt,completion_completion_rate_4yr_150nt_disputed,admissions_admission_rate_overall,admissions_admission_rate_overall_disputed,aid_median_debt_completers_overall,aid_median_debt_completers_overall_disputed,cost_tuition_in_state,cost_tuition_in_state_disputed,student_size,student_size_disputed
106148,Yavapai College,AZ,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
106245,University of Arkansas at Little Rock,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
106263,University of Arkansas for Medical Sciences,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
106306,Arkansas Baptist College,AR,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
106315,Arkansas Beauty School-Little Rock,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
106324,Arkansas Beauty College,AR,0.357143,true,F,reported,false,missing,false,missing,false,missing,false,missing,false,reported,false
106342,Lyon College,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
106351,Arkansas Technical School,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
106397,University of Arkansas,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
106412,University of Arkansas at Pine Bluff,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
106449,Arkansas State University-Beebe,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
106458,Arkansas State University,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
106467,Arkansas Tech University,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
106485,University of Arkansas at Monticello,AR,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
106494,Arthur's Beauty College,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
106546,Baptist Health College Little Rock,AR,0.785714,true,C,reported,false,missing,false,reported,false,reported,false,reported,false,reported,false
106625,Black River Technical College,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
106704,University of Central Arkansas,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
106713,Central Baptist College,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
106795,Cossatot Community College of the University of Arkansas,AR,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
106810,Crowley's Ridge College,AR,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
106883,University of Arkansas-East Arkansas Community College,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
106908,Paul Mitchell the School-Little Rock,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
106980,National Park College,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
106999,University of Arkansas Community College-Batesville,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
107044,Harding University,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
107071,Henderson State University,AR,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
107080,Hendrix College,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
107099,Hot Springs Beauty College,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
107123,Jefferson Regional School of Nursing,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
107141,John Brown University,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
107220,Career Academy of Hair Design,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
107293,Academy of Salon and Spa,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
107318,Arkansas State University Mid-South,AR,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
107327,Arkansas Northeastern College,AR,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
107442,New Tyler Barber College Inc,AR,0.357143,true,F,reported,false,missing,false,missing,false,missing,false,missing,false,reported,false
107460,North Arkansas College,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
107488,Northwest Technical Institute,AR,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
107512,Ouachita Baptist University,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
107521,Arkansas State University Three Rivers,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
107549,Ozarka College,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
107558,University of the Ozarks,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
107585,University of Arkansas Community College-Morrilton,AR,0.785714,true,C,reported,false,missing,false,reported,false,reported,false,reported,false,reported,false
107600,Philander Smith University,AR,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
107619,Phillips Community College of the University of Arkansas,AR,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
107637,Southeast Arkansas College,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
107655,University of Aesthetics & Cosmetology,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
107664,University of Arkansas-Pulaski Technical College,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
107725,University of Arkansas Hope-Texarkana,AR,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
107743,University of Arkansas Community College Rich Mountain,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
107789,Paul Mitchell the School-Arkansas,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
107831,Searcy Beauty College,AR,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
107840,Shorter College,AR,0.428571,true,F,missing,false,missing,false,missing,false,reported,false,reported,false,reported,false
107877,Williams Baptist University,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
107974,South Arkansas College,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
107983,Southern Arkansas University Main Campus,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
107992,Southern Arkansas University Tech,AR,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
108065,Velvatex College of Beauty Culture,AR,0.357143,true,F,reported,false,missing,false,missing,false,missing,false,missing,false,reported,false
108092,University of Arkansas-Fort Smith,AR,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
108232,Academy of Art University,CA,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
108269,Academy of Chinese Culture and Health Sciences,CA,0.000000,true,F,missing,false,missing,false,missing,false,missing,false,missing,false,missing,false
108667,College of Alameda,CA,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
108807,Allan Hancock College,CA,0.500000,true,D,reported,false,missing,false,missing,false,missing,false,reported,false,reported,false
108861,Berkeley School of Theology,CA,0.428571,true,F,missing,false,missing,false,reported,false,missing,false,reported,false,reported,false
108870,American Film Institute Conservatory,CA,0.000000,true,F,missing,false,missing,false,missing,false,missing,false,missing,false,missing,false
108977,American Beauty College,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
109040,American Career College-Los Angeles,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
109208,American River College,CA,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
109350,Antelope Valley Community College District,CA,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
109651,Art Center College of Design,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
109721,Associated Technical College-Los Angeles,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
109785,Azusa Pacific University,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
109819,Bakersfield College,CA,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
109907,Barstow Community College,CA,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
109934,Bellus Academy-Chula Vista,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
110060,Bethesda University,CA,0.642857,true,D,missing,false,reported,false,missing,false,reported,false,reported,false,reported,false
110097,Biola University,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110194,Brownson Technical School,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
110219,Bryan University,AZ,0.857143,true,B,reported,false,reported,false,missing,false,reported,false,reported,false,reported,false
110246,Butte College,CA,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
110316,California Institute of Integral Studies,CA,0.500000,true,D,reported,false,missing,false,missing,false,reported,false,missing,false,reported,false
110334,Cabrillo College,CA,0.642857,true,D,reported,false,missing,false,missing,false,reported,false,reported,false,reported,false
110361,California Baptist University,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110370,California College of the Arts,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110398,University of California College of the Law-San Francisco,CA,0.000000,true,F,missing,false,missing,false,missing,false,missing,false,missing,false,missing,false
110404,California Institute of Technology,CA,0.857143,true,B,reported,false,reported,false,reported,false,missing,false,reported,false,reported,false
110413,California Lutheran University,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110422,California Polytechnic State University-San Luis Obispo,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110468,Alliant International University-San Diego,CA,0.642857,true,D,reported,false,missing,false,implausible,false,reported,false,reported,false,reported,false
110486,California State University-Bakersfield,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110495,California State University-Stanislaus,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110510,California State University-San Bernardino,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110529,California State Polytechnic University-Pomona,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110538,California State University-Chico,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110547,California State University-Dominguez Hills,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110556,California State University-Fresno,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110565,California State University-Fullerton,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110574,California State University-East Bay,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110583,California State University-Long Beach,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110592,California State University-Los Angeles,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110608,California State University-Northridge,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110617,California State University-Sacramento,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110635,University of California-Berkeley,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110644,University of California-Davis,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110653,University of California-Irvine,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
110662,University of California-Los Angeles,CA,1.000000,true,A,reported,false,reported,false,reported,false,reported,false,reported,false,reported,false
